icd1,sales,profit,profits,profitpure,equity,assets
4,1617,302,295,209,1757,2251
4,4812,723,812,553,3161,5577
4,1431,238,234,137,1042,1276
4,552,111,112,78,7634,8525
4,1413,254,249,170,1026,1244
4,1820,243,244,223,1121,2337
4,9061,681,808,621,5152,6545
4,41973,4721,4566,3427,12805,70990
4,147,1,-11,-11,943,979
4,1081,301,301,192,1308,1568
4,6306,452,416,272,2788,4768
4,1976,431,408,293,2769,3242
4,4477,335,335,356,1736,3171
4,1690,-73,-92,-96,1347,2146
4,2032,256,208,253,2686,3926
4,798,16,-1,-11,1668,1829
4,2249,203,269,212,1624,2159
4,2955,140,151,108,376,1063
4,10200,-848,-893,-947,3376,9082
4,844,164,171,109,412,699
4,1085,398,389,272,1475,1781
4,1815,77,62,61,1478,2008
4,1766,555,540,402,3554,4371
4,2872,347,328,223,1615,2164
4,1450,190,170,124,1007,1267
4,3198,-258,-272,-276,3361,7670
4,9222,1639,1611,1117,5489,8797
4,1793,310,309,201,698,1430
4,1476,164,167,125,969,1444
4,873,43,32,45,879,1418
3,9292,2688,2955,1631,47017,1170700000
4,2263,240,302,207,1711,2291
3,29684,3579,3755,2715,11115,17327
3,6338,800,816,481,5506,7007
4,5164,719,762,535,9882,10769
3,2177,180,70,302,2999,10957
3,22804,359,550,211,8257,12695
3,47825,513,729,-62,2035,25649
3,709,231,354,343,4850,5242
3,3643,103,140,105,1643,4313
3,33155,1910,2354,1224,13999,25723
3,17435,3057,3215,2253,12431,15561
3,44978400000,10965800000,11872600000,85662,74181200000,99634200000
4,21453,1368,1375,874,9106,15991
3,5602,138,148,105,1189,3031
3,12959200000,5254,8529,5198,12527100000,18110900000
4,4147,314,308,220,5350,7046
3,12893,1556,1525,891,14007,16450
3,8071,415,337,229,2243,12930
3,4123,2896,3094,3076,17361,21555
4,20925,2206,2759,1854,13787,21015
4,12684,6211,10586,11215,54070600000,80525900000
3,10526,0,-6,-400,3924,11764
3,9727,14,10,-41,2423,5801
3,84976,9761,9769,6429,60609,10449100000
3,13453500000,11568,12872,8652,10005400000,3287400000
4,65068,36419,37934,28700,17473300000,19747300000
4,24417,1842,1923,1350,8165,15789
4,28419,7512,7612,6228,42026,50201
4,25964,2076,2169,1420,11130,15905
3,6650,257,368,224,4112,10354
